Category,Compound,Dose,Frequency,Timing,Mechanism of Action,Benefits,Supports/Protects,Status
PEPTIDES - METABOLIC,Retatrutide,Per protocol,Weekly,Morning,Triple agonist (GLP-1/GIP/Glucagon) - activates all 3 incretin receptors,Weight loss; appetite control; improved insulin sensitivity; cardiovascular benefits,Metabolic health; body composition; cardiovascular system,HAVE
PEPTIDES - COSMETIC,MT2 (Melanotan 2),250-500mcg,2-3x/week loading then maintenance,Morning,Alpha-MSH analog - stimulates melanocortin receptors (MC1R),Tanning without UV; libido enhancement; appetite suppression,Skin protection; sexual health,HAVE
PEPTIDES - HEALING,BPC-157 (GLOW blend),500mcg,2x daily,AM + PM,Upregulates VEGF and growth hormone receptors; promotes angiogenesis; modulates nitric oxide,Accelerated tissue healing; gut repair; tendon/ligament recovery; neuroprotection,GI tract; tendons; ligaments; muscles; gut-brain axis; dopamine system,HAVE
PEPTIDES - HEALING,TB-500 (GLOW blend),5mg,2x/week,Mon/Thu PM,Upregulates actin; promotes cell migration and differentiation; reduces inflammation,Systemic healing; muscle recovery; flexibility; hair growth,Muscles; cardiovascular; connective tissue; hair follicles,HAVE
PEPTIDES - HEALING,GHK-Cu (GLOW blend),2mg,3x/week,Tue/Fri/Sun PM,Copper peptide - stimulates collagen; remodels tissue; antioxidant gene expression,Skin rejuvenation; wound healing; anti-aging; hair growth,Skin; collagen; hair; wound repair,HAVE
PEPTIDES - COGNITIVE,NA-Semax Amidate,600mcg,Daily,Morning intranasal,ACTH(4-7) analog - increases BDNF/NGF; modulates dopamine/serotonin,Enhanced focus; memory; neuroprotection; mood elevation; reduced anxiety,Brain; neurons; BDNF; cognitive function,ORDER - Peptide Sciences
PEPTIDES - COGNITIVE,Dihexa,10mg,Daily,Morning,HGF/c-Met receptor agonist - 10 million x more potent than BDNF for synaptogenesis,Massive neurogenesis; memory enhancement; learning capacity; cognitive repair,Neurons; synapses; hippocampus; memory circuits,HAVE
PEPTIDES - SLEEP,DSIP,200mcg,Nightly,Before bed,Delta sleep-inducing peptide - modulates sleep architecture; reduces cortisol,Deep sleep induction; stress reduction; recovery optimization,Sleep; HPA axis; recovery,HAVE
PEPTIDES - MITOCHONDRIAL,MOTS-c,10mg,3x/week,Mon/Wed/Fri AM,Mitochondrial-derived peptide - activates AMPK; regulates metabolism,Exercise mimetic; fat oxidation; insulin sensitivity; metabolic optimization,Mitochondria; metabolism; insulin sensitivity; exercise capacity,HAVE
PEPTIDES - LONGEVITY,Epithalon,10mg,Daily for 10-day cycles every 4-6mo,Morning,Activates telomerase; lengthens telomeres; regulates pineal gland,Telomere extension; anti-aging; improved sleep; immune function,Telomeres; pineal gland; immune system; longevity,ORDER - Peptide Sciences
PEPTIDES - GH AXIS,CJC-1295 (no DAC),200mcg,Nightly (5 on/2 off),Before bed,GHRH analog - extends GH pulse duration 2-3 hours,Sustained GH release; synergy with Ipamorelin; improved recovery,Growth hormone axis; muscle; fat metabolism; recovery,ADD - Peptide Sciences
PEPTIDES - GH AXIS,Ipamorelin,200mcg,Nightly (5 on/2 off),Before bed,Ghrelin mimetic - stimulates GH release without cortisol/prolactin spike,Clean GH pulse; improved sleep; body composition; anti-aging,Growth hormone axis; sleep; body composition,ADD - Peptide Sciences
NOOTROPICS,9-Me-BC,20mg,Daily (cycle 2-4 weeks on/4 off),Morning sublingual,Upregulates tyrosine hydroxylase; promotes dopaminergic neurogenesis; MAO-B inhibitor,Dopamine neuron regeneration; motivation; cognitive enhancement; neuroprotection,Dopamine neurons; tyrosine hydroxylase; motivation circuits,HAVE
NOOTROPICS,Bromantane,100mg,Daily (cycle 4-8 weeks),Morning,Upregulates TH and AADC gene expression; actoprotector; anxiolytic,Dopamine/serotonin synthesis upregulation; energy without depletion; reduced anxiety,Dopamine synthesis; serotonin; energy; anxiety,HAVE
NOOTROPICS,Noopept,30mg,Daily,Morning sublingual,Modulates AMPA/NMDA receptors; increases NGF and BDNF,Rapid cognitive enhancement; memory; neuroprotection,BDNF; NGF; memory; neurons,HAVE
NOOTROPICS,Flmodafinil,50-100mg,As needed,Morning,Dopamine reuptake inhibitor; more potent than modafinil; better bioavailability,Wakefulness; focus; motivation; cognitive enhancement,Dopamine; alertness; focus,ORDER - Limitless Life
NAD+ STACK,NMN,1500mg,Daily (500mg sublingual + 1000mg oral),Morning,Direct NAD+ precursor - converts to NAD+ via NMNAT enzymes,Cellular energy; DNA repair; sirtuin activation; anti-aging,NAD+ levels; sirtuins; mitochondria; DNA repair,ADD - Amazon
NAD+ STACK,Resveratrol,1000mg,Daily,Morning with fats,SIRT1 activator; works synergistically with NMN for 1.6-1.7x NAD+ boost,Sirtuin activation; longevity gene expression; cardiovascular protection,Sirtuins; longevity genes; cardiovascular system,ADD - Amazon
NAD+ STACK,Apigenin,100mg,Nightly,Before bed,CD38 inhibitor - prevents NAD+ degradation; GABAergic for sleep,Protects NAD+ levels; improves sleep; anxiolytic,NAD+ preservation; sleep; GABA,ADD - Amazon
MITOCHONDRIAL,CoQ10 (Ubiquinol),400mg,Daily,Morning with fats,Electron carrier in mitochondrial ETC; potent antioxidant,ATP production; heart health; energy; antioxidant protection,Mitochondria; heart; cellular energy; antioxidant defense,ADD - Amazon
MITOCHONDRIAL,PQQ,40mg,Daily,Morning with fats,Stimulates mitochondrial biogenesis via PGC-1α; REDOX cofactor,Creates NEW mitochondria; neuroprotection; cognitive enhancement,Mitochondrial biogenesis; neurons; energy,ADD - Amazon
MITOCHONDRIAL,Methylene Blue,20mg,Daily,Morning sublingual,Alternative electron carrier in ETC; enhances complex IV; crosses BBB,Instant cognitive boost; mitochondrial efficiency; neuroprotection,Mitochondria; brain; cognitive function,ADD - Amazon
LONGEVITY,Ca-AKG (Calcium Alpha-Ketoglutarate),2000mg,Daily,Evening with dinner,TCA cycle intermediate; epigenetic modulator; reduces inflammatory cytokines,8-year biological age reduction in studies; reduced inflammation; bone health,Epigenetic age; inflammation; bones; metabolism,ADD - Amazon
LONGEVITY,Spermidine,15mg,Daily,Evening,Induces autophagy; promotes cellular cleanup; cardioprotective,Autophagy activation; cellular renewal; heart protection; longevity,Autophagy; cellular cleanup; heart; longevity,ADD - Amazon
LONGEVITY,Fisetin,200mg daily / 1500mg pulse,Daily + monthly 2-day pulse,Evening daily; AM for pulse,Senolytic - selectively kills senescent cells; antioxidant; anti-inflammatory,Clears zombie cells; reduces inflammation; neuroprotection,Senescent cells; inflammation; neurons,ADD - Amazon
LONGEVITY,Quercetin,1500mg,Monthly 2-day pulse with Fisetin,Morning fasted (pulse days),Senolytic - inhibits BCL-2/BCL-xL; synergizes with Fisetin,Enhanced senolytic effect; anti-inflammatory; immune support,Senescent cells; immune system; inflammation,ADD - Amazon
DOPAMINE RECOVERY,Uridine,300mg,Daily,Morning with fats,RNA nucleoside - increases phosphatidylcholine; upregulates D2 receptors,Dopamine receptor density increase; synaptic membrane synthesis,D2 receptors; synaptic membranes; dopamine sensitivity,ADD - Amazon
DOPAMINE RECOVERY,CDP-Choline,300mg,Daily,Morning,Choline donor + cytidine; enhances dopamine receptor synthesis; neuroprotective,Dopamine receptor density; acetylcholine; membrane phospholipids,Dopamine receptors; acetylcholine; neuronal membranes,ADD - Amazon
DOPAMINE RECOVERY,Lion's Mane,2000mg,Daily,Morning,Stimulates NGF synthesis via hericenones/erinacines,Neurogenesis; nerve repair; cognitive enhancement; reduced microglial inflammation,NGF; neurons; microglia; cognitive function,ADD - Amazon
TESTOSTERONE,Tongkat Ali,400mg,Daily (5 on/2 off),Morning,Increases LH; reduces SHBG; anti-estrogenic; adaptogen,15-37% testosterone increase; libido; stress resilience,Testosterone; LH; SHBG; stress,ADD - Amazon
TESTOSTERONE,Ashwagandha KSM-66,600mg,Daily (cycle 8 weeks on/2 off),Morning,Adaptogen - reduces cortisol 30%; modulates HPA axis; increases testosterone,Stress reduction; testosterone boost; anxiety relief; sleep quality,Cortisol; testosterone; HPA axis; anxiety,ADD - Amazon
COGNITIVE,Alpha-GPC,600mg,Daily,Morning,Choline donor - crosses BBB; acetylcholine precursor; GH potentiator,Memory; focus; mind-muscle connection; GH release,Acetylcholine; memory; focus; GH axis,ADD - Amazon
ANTI-INFLAMMATORY,Curcumin (Liposomal),1000mg,Daily,Morning with fats,Inhibits NF-κB; COX-2 inhibitor; crosses BBB in liposomal form,Reduced inflammation; neuroprotection; joint health,Inflammation; NF-κB; joints; brain,ADD - Amazon
FOUNDATIONAL,Omega-3 (EPA/DHA),6000mg,Daily (split AM/PM),3g AM / 3g PM with food,Incorporates into cell membranes; anti-inflammatory; precursor to resolvins,Brain structure; inflammation control; cardiovascular; mood,Cell membranes; brain; heart; inflammation,ADD - Amazon
FOUNDATIONAL,Creatine Monohydrate,10000mg,Daily,Morning,Increases phosphocreatine stores; ATP regeneration in brain and muscle,Brain ATP; muscle strength; cognitive reserve; neuroprotection,Brain ATP; muscles; cognitive function,ADD - Amazon
FOUNDATIONAL,Taurine,6000mg,Daily (split 3g AM/3g PM),3g AM / 3g PM,Osmoregulation; bile acid conjugation; GABAergic; mitochondrial support,Lifespan extension (10-12% in mice); cardiovascular; calm; sleep,Lifespan; cardiovascular; GABA; mitochondria,ADD - Amazon
FOUNDATIONAL,Collagen Peptides,20000mg,Daily,Morning,Provides glycine/proline/hydroxyproline for collagen synthesis,Skin elasticity; joint health; gut lining; hair/nails,Skin; joints; gut lining; hair; nails,ADD - Amazon
FOUNDATIONAL,Vitamin D3,50000IU,Daily,Morning with fats,Steroid hormone precursor; regulates 1000+ genes; immune modulation,Hormone optimization; immune function; bone health; mood,Hormones; immune system; bones; mood,HAVE - increase dose
FOUNDATIONAL,Vitamin K2 (MK-7),500mcg,Daily,Morning with D3,Activates matrix-gla protein; directs calcium to bones not arteries,Calcium optimization; bone density; arterial health,Bones; arteries; calcium metabolism,HAVE - increase dose
FOUNDATIONAL,IM8 Daily Ultimate Multi,Per label,Daily,Morning,Comprehensive micronutrient coverage,Fills nutritional gaps; baseline optimization,All micronutrient systems,HAVE
SLEEP,Glycine,20000mg,Nightly,30-60 min before bed,NMDA co-agonist (paradoxically calming); lowers core body temperature,Deep sleep; next-day cognition; collagen synthesis; longevity,Sleep architecture; core temperature; collagen,HAVE - increase to 20g
SLEEP,Magnesium Glycinate,800mg,Nightly,30-60 min before bed,GABA-A receptor agonist; NMDA antagonist; 300+ enzyme cofactor,Deep sleep; muscle relaxation; calm; cardiovascular,Sleep; muscles; GABA; heart; 300+ enzymes,HAVE - increase dose
SLEEP,L-Theanine,400mg,Nightly,30-60 min before bed,Increases alpha brain waves; modulates GABA/serotonin/dopamine,Calm without sedation; sleep quality; next-day focus,Alpha waves; GABA; relaxation,HAVE
SLEEP,MK-677 (Ibutamoren),25mg,Nightly,Before bed,Oral ghrelin mimetic - stimulates GH release; increases IGF-1,GH boost; deep sleep; recovery; muscle preservation,GH axis; IGF-1; sleep; muscle,HAVE
DETOX,NAC (N-Acetyl Cysteine),1800mg,Daily,Evening with dinner,Glutathione precursor; mucolytic; supports detox pathways,Glutathione synthesis; liver support; respiratory health; antioxidant,Glutathione; liver; lungs; antioxidant defense,ADD - Amazon
